City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Avarua,CK,2022-08-14 21:45:36,-21.2078,-159.775,71.65,83,100,3.44,light rain
61,Belmonte,BR,2022-08-14 21:45:36,-15.8631,-38.8828,69.35,75,40,7.76,scattered clouds
62,College,US,2022-08-14 21:45:37,64.8569,-147.8028,65.28,70,75,5.75,broken clouds
63,Saint-Philippe,RE,2022-08-14 21:45:37,-21.3585,55.7679,67.59,76,45,15.17,scattered clouds
64,Sobolevo,RU,2022-08-14 21:45:38,54.4299,31.8996,62.28,87,51,7.11,broken clouds
65,Mahebourg,MU,2022-08-14 21:44:32,-20.4081,57.7,70.25,78,75,17.27,broken clouds
66,Coahuayana,MX,2022-08-14 21:45:38,18.7333,-103.6833,86.4,69,68,4.61,broken clouds
67,Abu Zabad,SD,2022-08-14 21:45:38,12.35,29.25,71.35,90,99,7.2,light rain
68,Saint-Joseph,RE,2022-08-14 21:45:39,-21.3667,55.6167,66.58,74,32,12.39,scattered clouds
69,Tuktoyaktuk,CA,2022-08-14 21:38:16,69.4541,-133.0374,44.6,93,100,12.66,overcast clouds
70,Kloulklubed,PW,2022-08-14 21:42:25,7.0419,134.2556,73.9,74,97,6.71,overcast clouds
71,Ribeira Grande,PT,2022-08-14 21:42:00,38.5167,-28.7,76.57,87,14,10.07,light rain
72,Nalut,LY,2022-08-14 21:45:39,30.3333,10.85,87.89,20,0,2.57,clear sky
73,Karratha,AU,2022-08-14 21:45:41,-20.7377,116.8463,71.49,54,1,3.38,clear sky
74,Zhigansk,RU,2022-08-14 21:45:41,66.7697,123.3711,54.1,91,91,7.38,overcast clouds
75,Kavieng,PG,2022-08-14 21:39:27,-2.5744,150.7967,81.68,71,81,7.67,broken clouds
76,Ilulissat,GL,2022-08-14 21:42:24,69.2167,-51.1,43.66,85,100,11.14,overcast clouds
77,Georgetown,MY,2022-08-14 21:45:28,5.4112,100.3354,79.95,85,20,13.8,thunderstorm
78,New Norfolk,AU,2022-08-14 21:45:42,-42.7826,147.0587,49.71,84,94,1.01,overcast clouds
79,Lodja,CD,2022-08-14 21:45:43,-3.4833,23.4333,74.08,72,92,3.58,overcast clouds
80,Port Alfred,ZA,2022-08-14 21:42:15,-33.5906,26.891,55.38,68,84,33.89,light rain
81,Cape Town,ZA,2022-08-14 21:42:16,-33.9258,18.4232,50.92,77,20,6.91,few clouds
82,Mar Del Plata,AR,2022-08-14 21:42:24,-38.0023,-57.5575,57.09,92,0,11.99,clear sky
83,Pangkalanbuun,ID,2022-08-14 21:45:44,-2.6833,111.6167,73.18,93,65,0.92,broken clouds
84,Bengkulu,ID,2022-08-14 21:45:44,-3.8004,102.2655,76.57,89,100,3.11,overcast clouds
85,Talnakh,RU,2022-08-14 21:45:45,69.4865,88.3972,54.21,61,98,3.71,overcast clouds
86,Hokitika,NZ,2022-08-14 21:45:45,-42.7167,170.9667,48.87,66,100,5.3,light rain
87,Tacoronte,ES,2022-08-14 21:45:46,28.4769,-16.4102,72.12,75,40,16.11,fog
88,Esperance,AU,2022-08-14 21:45:46,-33.8667,121.9,49.19,85,0,9.8,clear sky
89,Douentza,ML,2022-08-14 21:45:46,14.9951,-2.9517,90.79,48,86,5.7,overcast clouds
90,Bangangte,CM,2022-08-14 21:46:47,5.1409,10.5198,59.41,99,100,3.69,light rain
91,Richmond,US,2022-08-14 21:44:48,37.5538,-77.4603,83.05,55,75,6.91,broken clouds
92,Tommot,RU,2022-08-14 21:46:47,58.9564,126.2925,54.12,96,100,7.61,overcast clouds
93,Polyarnyy,RU,2022-08-14 21:46:48,69.1989,33.4478,45.73,80,70,8.05,broken clouds
94,Kirakira,SB,2022-08-14 21:46:49,-10.4544,161.9205,82.47,74,38,8.32,scattered clouds
95,Avera,US,2022-08-14 21:46:49,33.194,-82.5271,87.85,35,30,0.94,scattered clouds
96,Antropovo,RU,2022-08-14 21:46:50,58.3988,43.0066,58.39,85,14,2.46,few clouds
97,Dikson,RU,2022-08-14 21:46:51,73.5069,80.5464,42.78,95,100,3.47,overcast clouds
98,Pangnirtung,CA,2022-08-14 21:46:52,66.1451,-65.7125,44.82,82,100,3.2,overcast clouds
99,Bredasdorp,ZA,2022-08-14 21:46:53,-34.5322,20.0403,48.9,59,96,2.55,overcast clouds
100,Lagoa,PT,2022-08-14 21:46:54,39.05,-27.9833,75.0,87,4,12.24,clear sky
101,Hithadhoo,MV,2022-08-14 21:46:55,-0.6,73.0833,82.36,72,100,4.03,overcast clouds
102,Severo-Kurilsk,RU,2022-08-14 21:46:55,50.6789,156.125,55.94,98,100,18.66,light rain
103,Bandarbeyla,SO,2022-08-14 21:46:56,9.4942,50.8122,76.19,84,93,29.46,overcast clouds
104,Gemenele,RO,2022-08-14 21:46:56,45.2833,27.6167,66.45,83,30,10.18,scattered clouds
105,Nikolskoye,RU,2022-08-14 21:38:19,59.7035,30.7861,62.87,69,5,3.62,clear sky
106,Lakatoro,VU,2022-08-14 21:46:57,-16.0999,167.4164,78.4,81,100,15.68,light rain
107,Banmankhi,IN,2022-08-14 21:46:57,25.8833,87.1833,79.27,86,98,18.54,overcast clouds
108,East London,ZA,2022-08-14 21:46:58,-33.0153,27.9116,54.21,66,38,31.94,light rain
109,Tacarigua,VE,2022-08-14 21:46:58,10.0862,-67.9198,71.6,98,100,2.62,overcast clouds
110,Hamilton,US,2022-08-14 21:42:35,39.1834,-84.5333,78.78,75,100,5.75,overcast clouds
111,Labuhan,ID,2022-08-14 21:46:59,-6.8844,112.2051,76.75,88,33,7.31,scattered clouds
112,Conde,BR,2022-08-14 21:44:27,-7.2597,-34.9075,76.46,73,20,10.36,few clouds
113,Suwanee,US,2022-08-14 21:47:01,34.0515,-84.0713,90.03,58,75,5.75,broken clouds
114,Eisenerz,AT,2022-08-14 21:47:01,47.5333,14.8833,60.39,89,30,2.04,scattered clouds
115,Tual,ID,2022-08-14 21:47:01,-5.6667,132.75,79.18,81,100,23.47,overcast clouds
116,Fairbanks,US,2022-08-14 21:46:23,64.8378,-147.7164,65.3,71,40,5.75,scattered clouds
117,Kjopsvik,NO,2022-08-14 21:47:02,68.097,16.3742,48.07,68,94,4.38,overcast clouds
118,Yerbogachen,RU,2022-08-14 21:42:24,61.2767,108.0108,42.1,90,8,1.7,clear sky
119,San Cristobal,VE,2022-08-14 21:47:03,7.7669,-72.225,78.98,81,28,5.75,scattered clouds
120,Faanui,PF,2022-08-14 21:42:20,-16.4833,-151.75,78.71,76,32,15.1,light rain
121,Poronaysk,RU,2022-08-14 21:47:04,49.2167,143.1167,61.21,95,100,3.76,overcast clouds
122,Namibe,AO,2022-08-14 21:47:04,-15.1961,12.1522,61.09,92,28,6.46,scattered clouds
123,Santa Cruz,BO,2022-08-14 21:47:04,-17.8,-63.1667,85.46,58,40,28.77,scattered clouds
124,Maravilha,BR,2022-08-14 21:47:05,-26.7608,-53.1725,62.62,92,45,3.56,scattered clouds
125,Tiksi,RU,2022-08-14 21:47:05,71.6872,128.8694,43.86,90,53,3.96,broken clouds
126,Pauini,BR,2022-08-14 21:47:05,-7.7136,-66.9764,88.59,44,70,1.21,broken clouds
127,Skibbereen,IE,2022-08-14 21:47:06,51.55,-9.2667,64.18,91,100,12.35,overcast clouds
128,Clarence Town,AU,2022-08-14 21:47:06,-32.5833,151.7833,54.86,73,8,10.51,clear sky
129,Diffa,NE,2022-08-14 21:47:07,13.3154,12.6113,76.64,78,100,7.9,overcast clouds
130,Kamariotissa,GR,2022-08-14 21:47:08,40.4833,25.4667,73.33,74,42,10.98,scattered clouds
131,Beauceville,CA,2022-08-14 21:47:08,46.2179,-70.7787,74.86,43,44,3.44,scattered clouds
132,Znamenskoye,RU,2022-08-14 21:47:09,57.1281,73.8282,50.52,94,45,8.21,scattered clouds
133,Pevek,RU,2022-08-14 21:47:09,69.7008,170.3133,34.02,83,100,12.62,overcast clouds
134,Ahipara,NZ,2022-08-14 21:48:10,-35.1667,173.1667,57.79,78,100,7.07,moderate rain
135,Port Hawkesbury,CA,2022-08-14 21:46:58,45.6169,-61.3485,72.91,95,100,11.99,mist
136,Matadi,CD,2022-08-14 21:48:12,-5.8167,13.45,71.33,72,100,6.93,overcast clouds
137,Coquimbo,CL,2022-08-14 21:48:12,-29.9533,-71.3436,56.93,82,0,6.91,clear sky
138,Upernavik,GL,2022-08-14 21:48:13,72.7868,-56.1549,43.86,74,100,4.36,overcast clouds
139,Andenes,NO,2022-08-14 21:48:13,69.3143,16.1194,48.18,81,0,9.22,clear sky
140,Kasongo,CD,2022-08-14 21:48:14,-4.45,26.6667,77.27,58,92,3.4,overcast clouds
141,Mount Gambier,AU,2022-08-14 21:48:14,-37.8333,140.7667,49.5,89,95,9.95,light rain
142,Olinda,BR,2022-08-14 21:48:15,-8.0089,-34.8553,78.53,61,40,11.5,scattered clouds
143,Belaya Gora,RU,2022-08-14 21:48:08,68.5333,146.4167,46.83,65,35,10.63,scattered clouds
144,Coihaique,CL,2022-08-14 21:46:03,-45.5752,-72.0662,37.35,81,75,2.3,light rain
145,Victoria,HK,2022-08-14 21:46:58,22.2855,114.1577,84.33,89,45,3.0,scattered clouds
146,Ketchikan,US,2022-08-14 21:48:16,55.3422,-131.6461,61.27,94,100,8.05,moderate rain
147,Gainesville,US,2022-08-14 21:44:55,29.6516,-82.3248,90.09,47,0,8.05,clear sky
148,Black River,JM,2022-08-14 21:48:17,18.0264,-77.8487,84.85,65,53,9.37,broken clouds
149,Bull Savanna,JM,2022-08-14 21:48:18,17.8868,-77.5902,82.63,64,32,11.86,scattered clouds
150,Lima,PE,2022-08-14 21:47:45,-12.0432,-77.0282,61.05,72,75,10.36,broken clouds
151,Clyde River,CA,2022-08-14 21:46:57,70.4692,-68.5914,41.23,93,75,8.05,light rain
152,Ayan,RU,2022-08-14 21:48:18,56.45,138.1667,55.53,87,78,2.8,broken clouds
153,Pundri,IN,2022-08-14 21:48:19,29.75,76.55,79.57,85,96,5.84,overcast clouds
154,Kenai,US,2022-08-14 21:48:19,60.5544,-151.2583,63.03,79,100,5.75,overcast clouds
155,Gobabis,NA,2022-08-14 21:48:20,-22.45,18.9667,47.71,23,1,10.56,clear sky
156,Ponta Do Sol,PT,2022-08-14 21:48:20,32.6667,-17.1,73.71,79,0,3.49,clear sky
157,Puerto Ayora,EC,2022-08-14 21:41:55,-0.7393,-90.3518,76.96,90,96,5.99,overcast clouds
158,Leh,IN,2022-08-14 21:48:21,34.1667,77.5833,66.27,52,80,5.14,broken clouds
