City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
598,Tarauaca,BR,84.63,overcast clouds,-8.1614,-70.7656,Flat Temporada
599,Buritizeiro,BR,71.67,clear sky,-17.3511,-44.9622,Santos Palace Hotel
600,Syracuse,IT,81.77,clear sky,37.0881,15.2792,Hotel Posta
601,North Bend,US,80.24,few clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
603,Kalaleh,IR,83.3,clear sky,37.3807,55.4916,کلاله
604,Puerto Escondido,MX,85.82,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
607,Grand Gaube,MU,70.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
608,Wilkie,CA,76.89,scattered clouds,52.4168,-108.7014,Wilkie Motel
610,Bairiki,KI,81.05,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
612,Haren,DE,73.35,overcast clouds,52.7833,7.2333,Hotel Greive
613,Along,IN,73.51,heavy intensity rain,28.1667,94.7667,Hotel West
615,Diplo,PK,80.53,overcast clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
616,Sakakah,SA,89.85,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
617,Aparecida Do Taboado,BR,80.01,clear sky,-20.0867,-51.0936,Aritana
619,Ingham,US,71.22,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
620,Arenapolis,BR,86.11,clear sky,-14.4503,-56.8461,Mato Grosso Hotel
621,Babai,IN,72.91,overcast clouds,22.7,77.9333,Sumit Kahar
622,Riverton,US,87.12,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
623,Nieuw Amsterdam,SR,80.02,broken clouds,5.8833,-55.0833,Hotel Stardust
624,Hatillo,PR,87.19,broken clouds,18.4863,-66.8254,El Buen Hotel
625,Zharkent,KZ,70.61,clear sky,44.1628,80.0,гостиница Satti
626,Chivilcoy,AR,71.8,overcast clouds,-34.8957,-60.0167,Chivilrent
627,Bourne,GB,75.29,overcast clouds,52.7667,-0.3833,Glen House
628,Urucara,BR,77.68,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
631,Srivardhan,IN,78.62,light rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
632,Itaueira,BR,79.02,few clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
633,Touros,BR,75.94,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
635,Chor,PK,81.21,broken clouds,25.5167,69.7667,Asad U Bajeer Hotel
636,Atar,MR,84.97,moderate rain,20.5169,-13.0499,Oumou Elghoura
637,Palmas,BR,87.3,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
638,Morant Bay,JM,80.71,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
640,Porto Walter,BR,86.22,broken clouds,-8.2686,-72.7439,Hotel Silva
642,York,US,81.79,broken clouds,40.1254,-77.0,Rodeway Inn
646,Davila,PH,81.36,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
648,Vega De Alatorre,MX,87.75,overcast clouds,20.0333,-96.6333,Hotel D Luxe
650,Dwarka,IN,80.15,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
